account_id,customer_id,account_type,status,open_date
ACC-000001,CUST-00001,Savings,Active,2020-05-02
ACC-000002,CUST-00002,Checking,Active,2022-12-13
ACC-000003,CUST-00002,Savings,Active,2020-05-02
ACC-000004,CUST-00003,Checking,Active,2021-03-05
ACC-000005,CUST-00004,Checking,Active,2020-08-25
ACC-000006,CUST-00005,Checking,Active,2021-02-15
ACC-000007,CUST-00006,Savings,Active,2022-04-14
ACC-000008,CUST-00007,Checking,Active,2020-11-27
ACC-000009,CUST-00008,Savings,Active,2022-02-17
ACC-000010,CUST-00009,Checking,Active,2021-02-07
ACC-000011,CUST-00010,Checking,Closed,2022-06-12
ACC-000012,CUST-00010,Checking,Active,2021-03-30
ACC-000013,CUST-00011,Checking,Active,2021-01-31
ACC-000014,CUST-00012,Checking,Frozen,2020-10-22
ACC-000015,CUST-00013,Checking,Active,2022-10-23
ACC-000016,CUST-00014,Checking,Active,2020-09-11
ACC-000017,CUST-00015,Checking,Active,2020-07-03
ACC-000018,CUST-00016,Savings,Active,2020-12-11
ACC-000019,CUST-00016,Checking,Active,2021-04-11
ACC-000020,CUST-00017,Checking,Active,2021-10-12
ACC-000021,CUST-00017,Savings,Active,2022-02-05
ACC-000022,CUST-00018,Savings,Active,2020-07-13
ACC-000023,CUST-00018,Checking,Active,2021-05-28
ACC-000024,CUST-00019,Checking,Active,2020-08-13
ACC-000025,CUST-00020,Checking,Active,2022-04-12
ACC-000026,CUST-00021,Savings,Active,2022-03-25
ACC-000027,CUST-00022,Checking,Active,2022-04-29
ACC-000028,CUST-00023,Checking,Active,2021-01-24
ACC-000029,CUST-00024,Savings,Active,2022-12-15
ACC-000030,CUST-00025,Checking,Active,2022-02-22
ACC-000031,CUST-00026,Checking,Active,2022-01-14
ACC-000032,CUST-00027,Savings,Active,2021-01-12
ACC-000033,CUST-00028,Checking,Active,2020-12-24
ACC-000034,CUST-00029,Checking,Active,2020-11-12
ACC-000035,CUST-00030,Checking,Active,2022-03-24
ACC-000036,CUST-00031,Savings,Active,2022-03-18
ACC-000037,CUST-00032,Savings,Active,2021-12-28
ACC-000038,CUST-00032,Checking,Active,2021-07-04
ACC-000039,CUST-00033,Checking,Active,2022-03-08
ACC-000040,CUST-00034,Checking,Active,2021-08-17
ACC-000041,CUST-00035,Checking,Active,2021-08-29
ACC-000042,CUST-00036,Checking,Active,2020-05-13
ACC-000043,CUST-00037,Checking,Active,2021-08-16
ACC-000044,CUST-00037,Checking,Active,2022-11-08
ACC-000045,CUST-00038,Savings,Closed,2022-10-06
ACC-000046,CUST-00039,Checking,Active,2021-04-21
ACC-000047,CUST-00039,Checking,Active,2020-10-29
ACC-000048,CUST-00040,Checking,Active,2020-08-04
ACC-000049,CUST-00041,Checking,Active,2022-11-01
ACC-000050,CUST-00042,Savings,Closed,2022-06-03
ACC-000051,CUST-00043,Checking,Active,2022-05-01
ACC-000052,CUST-00044,Checking,Active,2021-09-27
ACC-000053,CUST-00045,Checking,Active,2022-03-12
ACC-000054,CUST-00046,Savings,Active,2021-01-28
ACC-000055,CUST-00047,Checking,Active,2021-05-08
ACC-000056,CUST-00048,Savings,Active,2021-06-23
ACC-000057,CUST-00049,Checking,Active,2022-08-09
ACC-000058,CUST-00050,Checking,Active,2020-11-26
ACC-000059,CUST-00051,Savings,Active,2021-09-09
ACC-000060,CUST-00051,Checking,Active,2020-05-11
ACC-000061,CUST-00052,Checking,Active,2021-04-29
ACC-000062,CUST-00053,Checking,Active,2022-04-20
ACC-000063,CUST-00054,Checking,Active,2020-08-03
ACC-000064,CUST-00055,Savings,Frozen,2021-02-12
ACC-000065,CUST-00056,Checking,Active,2022-07-06
ACC-000066,CUST-00056,Checking,Active,2020-06-07
ACC-000067,CUST-00057,Savings,Active,2020-09-20
ACC-000068,CUST-00058,Checking,Active,2022-01-25
ACC-000069,CUST-00059,Checking,Active,2021-11-06
ACC-000070,CUST-00060,Checking,Closed,2020-09-20
ACC-000071,CUST-00061,Checking,Active,2022-04-18
ACC-000072,CUST-00062,Savings,Active,2021-07-24
ACC-000073,CUST-00063,Checking,Active,2021-09-15
ACC-000074,CUST-00063,Checking,Active,2021-12-27
ACC-000075,CUST-00064,Checking,Active,2022-11-10
ACC-000076,CUST-00065,Checking,Closed,2021-10-10
ACC-000077,CUST-00066,Checking,Active,2021-03-27
ACC-000078,CUST-00066,Checking,Active,2022-07-23
ACC-000079,CUST-00067,Checking,Active,2022-05-16
ACC-000080,CUST-00068,Savings,Active,2022-09-03
ACC-000081,CUST-00068,Checking,Active,2020-05-21
ACC-000082,CUST-00069,Checking,Active,2020-08-30
ACC-000083,CUST-00070,Checking,Active,2022-08-06
ACC-000084,CUST-00071,Savings,Active,2020-07-15
