customer_id,age,segment,city,join_date
CUST-00001,69,Retail,Sevilla,2021-03-18
CUST-00002,32,Premium,Sevilla,2022-09-09
CUST-00003,78,Retail,Valencia,2022-12-07
CUST-00004,38,Retail,Madrid,2020-12-03
CUST-00005,41,Retail,Zaragoza,2022-03-26
CUST-00006,20,Retail,Valencia,2022-04-26
CUST-00007,39,Retail,Zaragoza,2022-05-18
CUST-00008,70,Premium,Bilbao,2022-08-12
CUST-00009,19,Retail,Sevilla,2020-12-08
CUST-00010,47,Retail,Zaragoza,2022-09-19
CUST-00011,55,Retail,Barcelona,2021-02-08
CUST-00012,19,Premium,Zaragoza,2020-12-04
CUST-00013,81,Premium,Bilbao,2020-07-02
CUST-00014,77,Retail,Sevilla,2021-06-22
CUST-00015,38,Retail,Valencia,2022-10-04
CUST-00016,50,Retail,Bilbao,2021-05-07
CUST-00017,75,Retail,Sevilla,2021-10-26
CUST-00018,39,Premium,Zaragoza,2022-11-30
CUST-00019,66,Retail,Madrid,2022-12-02
CUST-00020,76,Retail,Madrid,2022-09-28
CUST-00021,59,Retail,Barcelona,2022-05-23
CUST-00022,77,Retail,Sevilla,2022-05-08
CUST-00023,32,Retail,Madrid,2021-08-02
CUST-00024,79,Premium,Valencia,2021-04-25
CUST-00025,79,Retail,Sevilla,2022-12-05
CUST-00026,64,Retail,Valencia,2021-06-06
CUST-00027,79,Retail,Valencia,2022-06-12
CUST-00028,68,Retail,Madrid,2020-12-29
CUST-00029,72,Retail,Sevilla,2021-03-07
CUST-00030,81,Retail,Zaragoza,2021-01-13
CUST-00031,20,Premium,Bilbao,2021-06-22
CUST-00032,68,Retail,Madrid,2021-10-29
CUST-00033,24,Retail,Madrid,2022-05-21
CUST-00034,38,Retail,Zaragoza,2021-09-29
CUST-00035,56,Retail,Sevilla,2021-05-08
CUST-00036,35,Premium,Sevilla,2022-03-23
CUST-00037,21,Premium,Valencia,2020-09-25
CUST-00038,77,Retail,Zaragoza,2020-07-25
CUST-00039,31,Retail,Zaragoza,2022-12-26
CUST-00040,26,Retail,Sevilla,2020-11-15
CUST-00041,70,Retail,Valencia,2020-09-28
CUST-00042,19,Retail,Madrid,2022-07-22
CUST-00043,77,Retail,Barcelona,2021-01-17
CUST-00044,61,Retail,Bilbao,2021-10-26
CUST-00045,25,Retail,Madrid,2022-01-18
CUST-00046,64,Premium,Sevilla,2022-03-23
CUST-00047,52,Retail,Bilbao,2022-07-26
CUST-00048,53,Retail,Barcelona,2022-05-26
CUST-00049,67,Premium,Barcelona,2020-04-26
CUST-00050,21,Retail,Valencia,2020-11-11
CUST-00051,19,Retail,Bilbao,2022-01-22
CUST-00052,23,Retail,Valencia,2022-09-19
CUST-00053,71,Retail,Madrid,2022-09-29
CUST-00054,21,Premium,Zaragoza,2021-12-08
CUST-00055,71,Premium,Zaragoza,2022-09-24
CUST-00056,80,Retail,Zaragoza,2021-12-30
CUST-00057,35,Retail,Bilbao,2020-08-17
CUST-00058,61,Retail,Zaragoza,2022-01-14
CUST-00059,51,Retail,Madrid,2021-04-23
CUST-00060,79,Retail,Valencia,2022-04-06
CUST-00061,31,Premium,Bilbao,2020-09-27
CUST-00062,65,Retail,Valencia,2022-11-18
CUST-00063,32,Private Banking,Bilbao,2020-12-15
CUST-00064,79,Retail,Valencia,2021-09-18
CUST-00065,57,Retail,Barcelona,2021-07-01
CUST-00066,70,Retail,Valencia,2022-08-27
CUST-00067,41,Premium,Zaragoza,2020-04-10
CUST-00068,43,Premium,Barcelona,2020-06-01
CUST-00069,77,Premium,Valencia,2021-12-10
CUST-00070,58,Retail,Bilbao,2022-10-13
CUST-00071,46,Retail,Bilbao,2021-06-15
CUST-00072,32,Premium,Bilbao,2022-03-07
CUST-00073,62,Retail,Sevilla,2020-09-04
CUST-00074,82,Retail,Madrid,2021-03-29
CUST-00075,26,Retail,Bilbao,2021-04-08
CUST-00076,18,Private Banking,Barcelona,2020-07-09
CUST-00077,25,Premium,Bilbao,2020-08-02
CUST-00078,80,Retail,Sevilla,2021-12-27
CUST-00079,28,Premium,Zaragoza,2021-05-20
CUST-00080,25,Premium,Barcelona,2022-06-19
CUST-00081,52,Retail,Sevilla,2021-01-10
CUST-00082,52,Retail,Zaragoza,2022-10-22
CUST-00083,50,Premium,Barcelona,2022-11-16
CUST-00084,22,Retail,Valencia,2021-02-23
CUST-00085,58,Retail,Madrid,2022-05-13
CUST-00086,45,Retail,Madrid,2020-11-01
CUST-00087,24,Premium,Sevilla,2022-03-11
CUST-00088,29,Private Banking,Zaragoza,2022-10-12
CUST-00089,51,Premium,Madrid,2020-08-09
CUST-00090,50,Retail,Zaragoza,2022-05-08
CUST-00091,65,Premium,Zaragoza,2020-07-28
CUST-00092,40,Premium,Sevilla,2022-09-20
CUST-00093,79,Retail,Sevilla,2021-12-08
CUST-00094,54,Premium,Sevilla,2022-03-23
CUST-00095,61,Retail,Madrid,2021-09-24
CUST-00096,52,Retail,Sevilla,2021-03-22
CUST-00097,82,Retail,Madrid,2020-08-30
CUST-00098,64,Retail,Sevilla,2021-12-24
CUST-00099,20,Retail,Bilbao,2022-07-19
CUST-00100,18,Retail,Zaragoza,2021-12-18
CUST-00101,22,Retail,Sevilla,2022-01-03
CUST-00102,31,Premium,Barcelona,2022-06-01
CUST-00103,44,Retail,Zaragoza,2021-02-14
CUST-00104,26,Retail,Zaragoza,2022-04-03
CUST-00105,32,Retail,Sevilla,2021-01-13
CUST-00106,59,Premium,Valencia,2020-05-17
CUST-00107,68,Retail,Sevilla,2021-02-01
CUST-00108,80,Retail,Zaragoza,2021-03-09
CUST-00109,69,Premium,Barcelona,2022-10-20
CUST-00110,21,Retail,Zaragoza,2021-04-18
CUST-00111,40,Retail,Barcelona,2021-03-22
CUST-00112,32,Retail,Madrid,2022-07-10
CUST-00113,60,Premium,Bilbao,2021-07-04
CUST-00114,46,Retail,Zaragoza,2020-12-16
CUST-00115,53,Premium,Sevilla,2022-04-26
CUST-00116,30,Retail,Madrid,2022-07-18
CUST-00117,49,Premium,Bilbao,2021-09-15
CUST-00118,76,Premium,Sevilla,2021-12-09
CUST-00119,45,Private Banking,Valencia,2022-03-31
CUST-00120,83,Retail,Sevilla,2020-05-29
CUST-00121,59,Premium,Barcelona,2021-03-17
CUST-00122,62,Retail,Barcelona,2021-01-27
CUST-00123,79,Retail,Valencia,2021-06-10
CUST-00124,74,Retail,Madrid,2022-05-22
CUST-00125,23,Premium,Bilbao,2021-01-30
CUST-00126,45,Private Banking,Sevilla,2022-02-03
CUST-00127,45,Premium,Barcelona,2020-08-21
CUST-00128,61,Retail,Madrid,2020-11-06
CUST-00129,47,Retail,Valencia,2020-10-29
CUST-00130,79,Premium,Zaragoza,2022-11-05
CUST-00131,79,Retail,Barcelona,2022-05-12
CUST-00132,18,Retail,Valencia,2020-09-12
CUST-00133,44,Retail,Sevilla,2022-11-30
CUST-00134,79,Retail,Bilbao,2020-09-29
CUST-00135,20,Retail,Barcelona,2022-02-12
CUST-00136,44,Retail,Barcelona,2021-11-17
CUST-00137,26,Retail,Sevilla,2022-04-02
CUST-00138,79,Retail,Zaragoza,2022-10-26
CUST-00139,54,Private Banking,Madrid,2022-05-30
CUST-00140,68,Retail,Bilbao,2020-06-10
CUST-00141,61,Retail,Barcelona,2020-05-11
CUST-00142,41,Retail,Bilbao,2021-05-31
CUST-00143,76,Retail,Barcelona,2020-07-18
CUST-00144,49,Premium,Bilbao,2020-12-27
CUST-00145,69,Premium,Valencia,2022-02-13
CUST-00146,79,Retail,Barcelona,2022-05-29
CUST-00147,75,Retail,Bilbao,2021-03-01
CUST-00148,69,Premium,Madrid,2021-08-08
CUST-00149,29,Premium,Valencia,2021-11-22
CUST-00150,56,Retail,Valencia,2020-07-10
CUST-00151,19,Retail,Madrid,2020-06-09
CUST-00152,20,Retail,Bilbao,2021-03-14
CUST-00153,73,Private Banking,Sevilla,2021-09-19
CUST-00154,76,Retail,Madrid,2022-08-08
CUST-00155,19,Premium,Bilbao,2022-04-05
CUST-00156,19,Retail,Madrid,2022-08-12
CUST-00157,71,Retail,Madrid,2022-04-24
CUST-00158,18,Retail,Barcelona,2020-11-30
CUST-00159,36,Retail,Bilbao,2021-06-06
CUST-00160,19,Retail,Sevilla,2021-06-29
CUST-00161,70,Retail,Barcelona,2022-04-07
CUST-00162,61,Retail,Madrid,2020-11-28
CUST-00163,49,Premium,Zaragoza,2021-05-13
CUST-00164,49,Retail,Madrid,2021-10-20
CUST-00165,72,Retail,Madrid,2020-06-26
CUST-00166,73,Private Banking,Bilbao,2021-05-14
CUST-00167,34,Premium,Bilbao,2021-11-19
CUST-00168,55,Premium,Barcelona,2021-12-27
CUST-00169,41,Private Banking,Sevilla,2022-05-22
CUST-00170,28,Retail,Barcelona,2022-08-13
CUST-00171,33,Retail,Valencia,2021-07-29
CUST-00172,76,Premium,Madrid,2021-08-14
CUST-00173,20,Retail,Zaragoza,2022-09-30
CUST-00174,37,Retail,Madrid,2020-11-19
CUST-00175,76,Premium,Madrid,2022-11-14
CUST-00176,53,Retail,Barcelona,2020-08-03
CUST-00177,36,Retail,Zaragoza,2022-09-11
CUST-00178,84,Retail,Zaragoza,2022-07-29
CUST-00179,36,Retail,Zaragoza,2021-03-30
CUST-00180,37,Retail,Barcelona,2022-07-22
CUST-00181,69,Retail,Madrid,2020-10-12
CUST-00182,50,Premium,Barcelona,2021-02-04
CUST-00183,57,Retail,Bilbao,2021-10-26
CUST-00184,56,Retail,Bilbao,2021-05-01
CUST-00185,18,Premium,Barcelona,2022-10-28
CUST-00186,28,Private Banking,Zaragoza,2021-12-03
CUST-00187,74,Premium,Madrid,2021-12-07
CUST-00188,67,Premium,Barcelona,2021-05-01
CUST-00189,40,Retail,Barcelona,2021-09-09
CUST-00190,48,Retail,Barcelona,2021-07-09
CUST-00191,59,Retail,Valencia,2022-04-19
CUST-00192,24,Retail,Bilbao,2020-04-12
CUST-00193,33,Retail,Zaragoza,2021-06-14
CUST-00194,77,Retail,Sevilla,2020-08-03
CUST-00195,19,Premium,Zaragoza,2020-05-11
CUST-00196,18,Retail,Sevilla,2022-12-21
CUST-00197,65,Retail,Valencia,2021-02-04
CUST-00198,29,Retail,Barcelona,2020-12-24
CUST-00199,54,Retail,Valencia,2022-09-06
CUST-00200,49,Retail,Valencia,2021-02-02
CUST-00201,26,Premium,Madrid,2020-07-09
CUST-00202,36,Retail,Bilbao,2021-07-01
CUST-00203,65,Retail,Sevilla,2020-11-24
CUST-00204,20,Retail,Barcelona,2022-04-03
CUST-00205,37,Premium,Sevilla,2020-11-05
CUST-00206,41,Retail,Zaragoza,2021-03-16
CUST-00207,71,Retail,Sevilla,2022-01-18
CUST-00208,50,Retail,Zaragoza,2022-09-09
CUST-00209,41,Retail,Bilbao,2022-03-07
CUST-00210,53,Premium,Zaragoza,2021-10-13
CUST-00211,55,Premium,Sevilla,2022-07-24
CUST-00212,42,Retail,Sevilla,2021-09-24
CUST-00213,35,Premium,Zaragoza,2022-12-29
CUST-00214,83,Premium,Valencia,2020-04-30
CUST-00215,71,Premium,Bilbao,2020-12-23
CUST-00216,52,Premium,Madrid,2020-07-19
CUST-00217,78,Retail,Barcelona,2020-12-26
CUST-00218,58,Retail,Sevilla,2022-04-07
