transaction_id,account_id,transaction_date,transaction_type,amount
TRX-0006134,ACC-000001,2023-01-07 09:00:00,Card Payment,-162.86
TRX-0021968,ACC-000001,2023-01-08 12:00:00,ATM Withdrawal,-241.91
TRX-0049613,ACC-000001,2023-01-08 23:00:00,Card Payment,-271.59
TRX-0038884,ACC-000001,2023-01-24 03:00:00,Transfer In,150.09
TRX-0026720,ACC-000001,2023-02-04 06:00:00,Card Payment,-18.56
TRX-0006045,ACC-000001,2023-02-10 12:00:00,ATM Withdrawal,-89.71
TRX-0013425,ACC-000001,2023-03-01 07:00:00,Card Payment,-35.41
TRX-0011173,ACC-000001,2023-03-03 17:00:00,Card Payment,-55.87
TRX-0024903,ACC-000001,2023-03-09 11:00:00,Salary Deposit,1000.1
TRX-0031261,ACC-000001,2023-03-10 16:00:00,Card Payment,-3.04
TRX-0030563,ACC-000001,2023-03-14 05:00:00,Card Payment,-0.72
TRX-0008302,ACC-000001,2023-03-18 19:00:00,Salary Deposit,17.02
TRX-0020528,ACC-000001,2023-04-04 06:00:00,Card Payment,-19.73
TRX-0039037,ACC-000001,2023-04-10 02:00:00,Card Payment,-12.46
TRX-0018579,ACC-000001,2023-04-10 08:00:00,Transfer Out,-79.3
TRX-0002340,ACC-000001,2023-04-16 04:00:00,Transfer Out,-66.2
TRX-0034866,ACC-000001,2023-04-19 07:00:00,Card Payment,-786.1
TRX-0003261,ACC-000001,2023-05-06 02:00:00,Salary Deposit,0.39
TRX-0026926,ACC-000001,2023-05-18 08:00:00,Card Payment,-118.86
TRX-0027923,ACC-000001,2023-05-18 13:00:00,ATM Withdrawal,-95.17
TRX-0014240,ACC-000001,2023-05-18 16:00:00,Transfer Out,-195.92
TRX-0010094,ACC-000001,2023-05-20 18:00:00,Card Payment,-71.63
TRX-0027418,ACC-000001,2023-05-21 15:00:00,Transfer In,182.51
TRX-0004901,ACC-000001,2023-05-21 23:00:00,Card Payment,-179.06
TRX-0013723,ACC-000001,2023-06-11 00:00:00,Salary Deposit,33.79
TRX-0042762,ACC-000001,2023-06-14 07:00:00,Transfer In,38.15
TRX-0020306,ACC-000001,2023-06-22 11:00:00,Card Payment,-43.14
TRX-0012968,ACC-000001,2023-06-29 02:00:00,Transfer Out,-91.37
TRX-0038906,ACC-000001,2023-07-02 06:00:00,ATM Withdrawal,-222.11
TRX-0002189,ACC-000001,2023-07-04 01:00:00,Transfer In,50.4
TRX-0040891,ACC-000001,2023-07-05 20:00:00,Transfer Out,-68.29
TRX-0006304,ACC-000001,2023-07-20 19:00:00,Transfer Out,-1.08
TRX-0002054,ACC-000001,2023-07-22 03:00:00,Transfer In,470.24
TRX-0014135,ACC-000001,2023-07-23 02:00:00,Card Payment,-467.29
TRX-0048226,ACC-000001,2023-08-10 19:00:00,Transfer Out,-226.48
TRX-0041296,ACC-000001,2023-09-13 17:00:00,Salary Deposit,9.86
TRX-0014324,ACC-000001,2023-09-28 06:00:00,Card Payment,-1.69
TRX-0019539,ACC-000001,2023-10-27 12:00:00,Salary Deposit,35.04
TRX-0021616,ACC-000001,2023-11-07 16:00:00,ATM Withdrawal,-56.8
TRX-0013418,ACC-000001,2023-11-07 18:00:00,Card Payment,-21.64
TRX-0043601,ACC-000001,2023-11-10 20:00:00,Salary Deposit,179.41
TRX-0028369,ACC-000001,2023-11-17 03:00:00,Card Payment,-46.33
TRX-0040307,ACC-000001,2023-12-05 09:00:00,Transfer Out,-11.39
TRX-0047994,ACC-000001,2023-12-31 10:00:00,Transfer In,263.65
TRX-0029472,ACC-000002,2023-02-04 03:00:00,Card Payment,-22.37
TRX-0046692,ACC-000002,2023-02-24 09:00:00,Transfer In,66.02
TRX-0044834,ACC-000002,2023-03-12 23:00:00,Transfer Out,-1.97
TRX-0002540,ACC-000002,2023-03-21 06:00:00,Card Payment,-88.09
TRX-0042728,ACC-000002,2023-03-29 11:00:00,Salary Deposit,23.99
TRX-0035460,ACC-000002,2023-04-08 14:00:00,Transfer Out,-86.35
TRX-0031768,ACC-000002,2023-05-29 06:00:00,Card Payment,-202.99
TRX-0047874,ACC-000002,2023-06-07 11:00:00,Transfer In,89.2
TRX-0021833,ACC-000002,2023-06-14 12:00:00,Card Payment,-94.11
TRX-0021339,ACC-000002,2023-06-30 03:00:00,Salary Deposit,301.07
TRX-0008006,ACC-000002,2023-07-09 11:00:00,Transfer In,25.6
TRX-0017919,ACC-000002,2023-07-26 19:00:00,Card Payment,-14.56
TRX-0038537,ACC-000002,2023-08-12 06:00:00,Card Payment,-45.1
TRX-0012384,ACC-000002,2023-08-28 01:00:00,Transfer In,17.91
TRX-0040688,ACC-000002,2023-10-11 15:00:00,Salary Deposit,225.52
TRX-0013637,ACC-000002,2023-10-22 05:00:00,Card Payment,-135.61
TRX-0027804,ACC-000002,2023-10-30 14:00:00,Fee,-167.86
TRX-0017415,ACC-000002,2023-11-01 23:00:00,Card Payment,-17.87
TRX-0008793,ACC-000002,2023-12-14 23:00:00,Card Payment,-291.39
TRX-0016827,ACC-000002,2023-12-19 04:00:00,Transfer In,349.27
TRX-0030424,ACC-000002,2023-12-31 10:00:00,Card Payment,-159.0
TRX-0044301,ACC-000003,2023-02-08 06:00:00,Card Payment,-196.01
TRX-0034473,ACC-000003,2023-02-13 12:00:00,Fee,-44.74
TRX-0048326,ACC-000003,2023-02-24 01:00:00,Card Payment,-36.63
TRX-0048524,ACC-000003,2023-03-06 19:00:00,Card Payment,-185.96
TRX-0030617,ACC-000003,2023-03-09 08:00:00,Card Payment,-98.76
TRX-0046004,ACC-000003,2023-03-16 11:00:00,Card Payment,-110.17
TRX-0038713,ACC-000003,2023-03-21 15:00:00,Salary Deposit,35.29
TRX-0026860,ACC-000003,2023-03-23 07:00:00,Card Payment,-49.38
TRX-0021311,ACC-000003,2023-03-23 21:00:00,Card Payment,-435.12
